airport_name,city,country,IATA,latitude,longitude,continent_code,continent,airport
Santa Rosa Airport,Santa Rosa,Brazil,SRA,-27.9067,-54.520401,SA,South America,Santa Rosa (SRA)
Juan Pablo Pérez Alfonso Airport,El Vigía,Venezuela,VIG,8.624139,-71.672668,SA,South America,El Vigía (VIG)
Ji-Paraná Airport,Ji-Paraná,Brazil,JPR,-10.8708000183,-61.8465003967,SA,South America,Ji-Paraná (JPR)
Vance W. Amory International Airport,Charlestown,Saint Kitts and Nevis,NEV,17.205699920654297,-62.58990097045898,NA,North America,Charlestown (NEV)
Virgin Gorda Airport,Spanish Town,British Virgin Islands,VIJ,18.446399688720703,-64.42749786376953,NA,North America,Spanish Town (VIJ)
Kokshetau Airport,Kokshetau,Kazakhstan,KOV,53.329102,69.594597,AS,Asia,Kokshetau (KOV)
Petropavlosk South Airport,Petropavlosk,Kazakhstan,PPK,54.77470016479492,69.18389892578125,AS,Asia,Petropavlosk (PPK)
Zhezkazgan Airport,Zhezkazgan,Kazakhstan,DZN,47.708302,67.733299,AS,Asia,Zhezkazgan (DZN)
Ust-Kamennogorsk Airport,Ust Kamenogorsk,Kazakhstan,UKK,50.036598205566406,82.49420166015625,AS,Asia,Ust Kamenogorsk (UKK)
Kostanay West Airport,Kostanay,Kazakhstan,KSN,53.20690155029297,63.55030059814453,AS,Asia,Kostanay (KSN)
Ganja Airport,Ganja,Azerbaijan,KVD,40.737701416015625,46.31760025024414,AS,Asia,Ganja (KVD)
Nakhchivan Airport,Nakhchivan,Azerbaijan,NAJ,39.18880081176758,45.45840072631836,AS,Asia,Nakhchivan (NAJ)
Chulman Airport,Neryungri,Russia,NER,56.913898468018,124.91400146484,EU,Europe,Neryungri (NER)
Polyarny Airport,Yakutia,Russia,PYJ,66.4003982544,112.029998779,EU,Europe,Yakutia (PYJ)
Chokurdakh Airport,Chokurdah,Russia,CKH,70.62310028076172,147.90199279785156,EU,Europe,Chokurdah (CKH)
Cherskiy Airport,Cherskiy,Russia,CYX,68.7406005859375,161.33799743652344,EU,Europe,Cherskiy (CYX)
Tiksi Airport,Tiksi,Russia,IKS,71.697700500488,128.90299987793,EU,Europe,Tiksi (IKS)
Ugolny Airport,Anadyr,Russia,DYR,64.734902,177.740997,EU,Europe,Anadyr (DYR)
Zaporizhzhia International Airport,Zaporozhye,Ukraine,OZH,47.867000579833984,35.31570053100586,EU,Europe,Zaporozhye (OZH)
Kharkiv International Airport,Kharkov,Ukraine,HRK,49.924800872802734,36.290000915527344,EU,Europe,Kharkov (HRK)
Ivano-Frankivsk International Airport,Ivano-Frankivsk,Ukraine,IFO,48.88420104980469,24.68610000610352,EU,Europe,Ivano-Frankivsk (IFO)
Uzhhorod International Airport,Uzhgorod,Ukraine,UDJ,48.6343002319336,22.263399124145508,EU,Europe,Uzhgorod (UDJ)
Solovki Airport,Solovetsky Islands,Russia,CSH,65.0299987793,35.7333335876,EU,Europe,Solovetsky Islands (CSH)
Cherepovets Airport,Cherepovets,Russia,CEE,59.273601532,38.0158004761,EU,Europe,Cherepovets (CEE)
Petrozavodsk Airport,Petrozavodsk,Russia,PES,61.88520050048828,34.15470123291016,EU,Europe,Petrozavodsk (PES)
Kyzyl Airport,Kyzyl,Russia,KYZ,51.66939926147461,94.40059661865234,EU,Europe,Kyzyl (KYZ)
Spichenkovo Airport,Novokuznetsk,Russia,NOZ,53.811401,86.877197,EU,Europe,Novokuznetsk (NOZ)
Igarka Airport,Igarka,Russia,IAA,67.43720245361328,86.62190246582031,EU,Europe,Igarka (IAA)
Beslan Airport,Beslan,Russia,OGZ,43.2051010132,44.6066017151,EU,Europe,Beslan (OGZ)
Elista Airport,Elista,Russia,ESL,46.3739013671875,44.33089828491211,EU,Europe,Elista (ESL)
Mid Delta Regional Airport,Greenville,United States,GLH,33.4828987121582,-90.98560333251952,NA,North America,Greenville (GLH)
Tri Cities Airport,Pasco,United States,PSC,46.26470184326172,-119.11900329589844,NA,North America,Pasco (PSC)
Akutan Seaplane Base,Akutan,United States,KQA,54.1337704415,-165.778895617,NA,North America,Akutan (KQA)
Salekhard Airport,Salekhard,Russia,SLY,66.5907974243164,66.61100006103516,EU,Europe,Salekhard (SLY)
Khanty Mansiysk Airport,Khanty-Mansiysk,Russia,HMA,61.02849960327149,69.08609771728516,EU,Europe,Khanty-Mansiysk (HMA)
Nyagan Airport,Nyagan,Russia,NYA,62.110001,65.614998,EU,Europe,Nyagan (NYA)
Sovetskiy Airport,Sovetskiy,Russia,OVS,61.326622009277344,63.60191345214844,EU,Europe,Sovetskiy (OVS)
Izhevsk Airport,Izhevsk,Russia,IJK,56.82809829711914,53.45750045776367,EU,Europe,Izhevsk (IJK)
Pobedilovo Airport,Kirov,Russia,KVX,58.503299713135,49.348300933838,EU,Europe,Kirov (KVX)
Nadym Airport,Nadym,Russia,NYM,65.48090362548828,72.69889831542969,EU,Europe,Nadym (NYM)
Kurgan Airport,Kurgan,Russia,KRO,55.47529983520508,65.41560363769531,EU,Europe,Kurgan (KRO)
Khudzhand Airport,Khudzhand,Tajikistan,LBD,40.21540069580078,69.6947021484375,AS,Asia,Khudzhand (LBD)
Andizhan Airport,Andizhan,Uzbekistan,AZN,40.7276992798,72.2939987183,AS,Asia,Andizhan (AZN)
Fergana International Airport,Fergana,Uzbekistan,FEG,40.3587989807,71.7450027466,AS,Asia,Fergana (FEG)
Namangan Airport,Namangan,Uzbekistan,NMA,40.9846000671,71.5567016602,AS,Asia,Namangan (NMA)
Nukus Airport,Nukus,Uzbekistan,NCU,42.488399505615234,59.62329864501953,AS,Asia,Nukus (NCU)
Urgench Airport,Urgench,Uzbekistan,UGC,41.58430099487305,60.641700744628906,AS,Asia,Urgench (UGC)
Karshi Khanabad Airport,Khanabad,Uzbekistan,KSQ,38.8335990906,65.9215011597,AS,Asia,Khanabad (KSQ)
Termez Airport,Termez,Uzbekistan,TMJ,37.28670120239258,67.30999755859375,AS,Asia,Termez (TMJ)
Belgorod International Airport,Belgorod,Russia,EGO,50.643798828125,36.5900993347168,EU,Europe,Belgorod (EGO)
Kursk East Airport,Kursk,Russia,URS,51.7505989074707,36.29560089111328,EU,Europe,Kursk (URS)
Vorkuta Airport,Vorkuta,Russia,VKT,67.48860168457031,63.99309921264648,EU,Europe,Vorkuta (VKT)
Bugulma Airport,Bugulma,Russia,UUA,54.63999938964844,52.801700592041016,EU,Europe,Bugulma (UUA)
Cheboksary Airport,Cheboksary,Russia,CSY,56.09030151367188,47.3473014831543,EU,Europe,Cheboksary (CSY)
Orsk Airport,Orsk,Russia,OSW,51.0724983215332,58.59560012817383,EU,Europe,Orsk (OSW)
Penza Airport,Penza,Russia,PEZ,53.110599517822266,45.02109909057617,EU,Europe,Penza (PEZ)
Saransk Airport,Saransk,Russia,SKX,54.12512969970703,45.21225738525391,EU,Europe,Saransk (SKX)
Hubli Airport,Hubli,India,HBX,15.361700058,75.08489990230001,AS,Asia,Hubli (HBX)
Koggala Airport,Koggala,Sri Lanka,KCT,5.993680000305176,80.32029724121094,AS,Asia,Koggala (KCT)
Shillong Airport,Shillong,India,SHL,25.70359992980957,91.97869873046876,AS,Asia,Shillong (SHL)
Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,GAU,26.10610008239746,91.58589935302734,AS,Asia,Guwahati (GAU)
Dimapur Airport,Dimapur,India,DMU,25.8838996887,93.7711029053,AS,Asia,Dimapur (DMU)
